"","Breeding.Biome","year","med","lci","uci"
"218","Eastern Forest",1993,-137359782.724594,-152434010.552918,-122724605.708279
"229","Eastern Forest",1994,-140369663.850734,-155144711.995421,-125133379.912306
"236","Eastern Forest",1995,-142794414.564953,-158003530.282966,-127519483.304117
"201","Eastern Forest",1996,-145006361.820032,-160908964.324456,-129383893.196199
"199","Eastern Forest",1997,-147138404.010527,-163057028.970823,-131298469.791984
"197","Eastern Forest",1998,-148583562.069021,-164517368.518226,-133011243.309326
"204","Eastern Forest",1999,-149887105.35577,-166272616.177095,-133977709.02185
"215","Eastern Forest",2000,-151003970.980899,-166766918.942923,-134471589.966614
"226","Eastern Forest",2001,-151253625.163992,-167742697.095282,-134793504.250333
"224","Eastern Forest",2002,-151916473.850321,-168361383.187547,-135342686.480052
"208","Eastern Forest",2003,-152630000.769622,-169176797.537016,-135792362.513002
"219","Eastern Forest",2004,-153279649.336949,-169891866.411873,-136543911.697995
"230","Eastern Forest",2005,-154211531.953784,-170684942.458591,-137277260.852291
"233","Eastern Forest",2006,-155722123.49214,-172421852.008603,-138278186.612799
"212","Eastern Forest",2007,-157183502.925845,-174455970.996061,-139746694.38622
"210","Eastern Forest",2008,-158741086.709165,-175782934.448117,-141509854.169898
"221","Eastern Forest",2009,-160469314.535465,-177882655.985219,-142953237.518566
"232","Eastern Forest",2010,-162097068.733822,-179607567.199738,-144691457.71294
"238","Eastern Forest",2011,-163429913.441981,-181098256.166891,-145758805.688234
"240","Eastern Forest",2012,-164383838.075561,-182272793.864084,-146477918.623835
"239","Eastern Forest",2013,-165405670.759181,-183480948.968252,-147118238.697651
"209","Eastern Forest",2014,-165900104.301499,-184143126.790424,-147812318.95217
"220","Eastern Forest",2015,-166383414.589165,-184599837.097612,-147764866.570114
"231","Eastern Forest",2016,-166580628.921683,-184778613.306275,-147888665.605952
"237","Eastern Forest",2017,-166605031.89594,-185535328.809841,-147751798.646051
"250","Forest Generalist",1970,0,0,0
"257","Forest Generalist",1971,3265584.3987608,-44301917.1965799,50381540.3765432
"268","Forest Generalist",1972,5597776.09303713,-41004576.3580141,52866519.0341689
"275","Forest Generalist",1973,6695824.77139187,-41248060.9103243,53627642.9927581
"244","Forest Generalist",1974,1651326.5730195,-48221535.4866584,52167109.6193987
